short_column_name,long_column_name,original_question,original_response_option
respondent_id,respondent_id,Respondent ID,
start_date,start_date,Start Date,
end_date,end_date,End Date,
dbt_used_at_org,does_your_organization_use_dbt_core_or_dbt_cloud_today_response,Does your organization use dbt Core or dbt Cloud today?,Response
personal_dbt_experience,how_long_have_you_personally_been_using_dbt_including_current_and_any_prior_job_experience_response,How long have you personally been using dbt (including current and any prior job experience)?,Response
job_title,what_is_your_job_title_or_the_closest_match_response,What is your job title (or the closest match)?,Response
base_salary_usd,what_is_your_annual_salary_before_taxes_deductions_bonuses_and_stock_options_please_convert_the_amount_to_usd_if_you_are_paid_in_a_different_currency_response,"What is your annual salary (before taxes, deductions, bonuses, and stock options)?Please convert the amount to USD, if you are paid in a different currency.",Response
company_headquarters,where_is_your_company_headquartered_response,Where is your company headquartered?,Response
company_industry,what_best_describes_your_company_industry_response,What best describes your company industry?,Response
organization_size,approximately_how_many_people_work_at_your_organization_response,Approximately how many people work at your organization?,Response
org_data_infrastructure_proportion,as_a_percentage_of_your_company_how_many_people_are_responsible_for_data_infrastructure_maintaining_the_platforms_for_hosting_moving_and_accessing_data_response,"As a percentage of your company, how many people are responsible for data infrastructure (maintaining the platforms for hosting, moving, and accessing data)?",Response
org_data_analysis_proportion,as_a_percentage_of_your_company_how_many_people_are_responsible_for_data_analysis_building_and_analyzing_data_sets_and_reports_response,"As a percentage of your company, how many people are responsible for data analysis (building and analyzing data sets and reports)?",Response
time_spent_multiselect_platform,which_of_the_following_best_describes_how_you_spend_most_of_your_time_select_all_that_apply_build_maintain_platforms_for_hosting_moving_accessing_data,Which of the following best describes how you spend most of your time? Select all that apply.,"Build / maintain platforms for hosting, moving, accessing data"
time_spent_multiselect_datasets,which_of_the_following_best_describes_how_you_spend_most_of_your_time_select_all_that_apply_build_maintain_data_sets_to_ease_analysis,Which of the following best describes how you spend most of your time? Select all that apply.,Build / maintain data sets to ease analysis
time_spent_multiselect_reports_dashboards,which_of_the_following_best_describes_how_you_spend_most_of_your_time_select_all_that_apply_build_analyze_reports_dashboards,Which of the following best describes how you spend most of your time? Select all that apply.,Build / analyze reports & dashboards
time_spent_multiselect_ml_models,which_of_the_following_best_describes_how_you_spend_most_of_your_time_select_all_that_apply_build_use_machine_learning_models,Which of the following best describes how you spend most of your time? Select all that apply.,Build / use machine learning models
time_spent_multiselect_mentorship_direct_reports,which_of_the_following_best_describes_how_you_spend_most_of_your_time_select_all_that_apply_mentor_enable_direct_reports_who_do_a_combination_of_work_described_above,Which of the following best describes how you spend most of your time? Select all that apply.,Mentor / enable direct reports who do a combination of work described above
