respondent_id,start_date,end_date,dbt_used_at_org,personal_dbt_experience,job_title,base_salary_usd,company_headquarters,company_industry,organization_size,org_data_infrastructure_proportion,org_data_analysis_proportion,multiselect_time_spent_platform,multiselect_time_spent_datasets,multiselect_time_spent_reports_dashboards,multiselect_time_spent_ml_models,multiselect_time_spent_mentorship_direct_reports,multiselect_time_spent_other_free_text,rate_org_marketing_analytics,rate_org_product_analytics,rate_org_financial_analytics,rate_org_data_quality_transparency,rate_org_cross_team_alignment_data_ownership,rate_org_data_team_productivity_agility,rate_org_enabling_self_service,how_do_you_distribute_data_team_work,how_do_you_distribute_data_team_work_other_free_text,how_is_your_team_measured,how_is_your_team_measured_other_free_text,agreement_org_sets_clear_goals_responsibilities_roadmap,agreement_org_values_data_team,multiselect_economic_impact_reduced_headcount,multiselect_economic_impact_downgraded_open_headcount,multiselect_economic_impact_reduced_tooling_budget,multiselect_economic_impact_increased_headcount,multiselect_economic_impact_upgraded_open_headcount,multiselect_economic_impact_increased_tooling_budget,multiselect_economic_impact_no_change,multiselect_economic_impact_not_sure,investment_plan_next_12m_data_warehouse_lakehouse,investment_plan_next_12m_extract_load,investment_plan_next_12m_transform_model,investment_plan_next_12m_reverse_etl,investment_plan_next_12m_data_quality_observability,investment_plan_next_12m_data_orchestration,investment_plan_next_12m_bi_tools,multiselect_data_prep_challenge_poor_source_quality,multiselect_data_prep_challenge_input_data_inconsistent,multiselect_data_prep_challenge_ambiguous_quality_ownership,multiselect_data_prep_challenge_transform_slow_build_update,multiselect_data_prep_challenge_transform_location_reuse,multiselect_data_prep_challenge_docs_dependency_mgmt,multiselect_data_prep_challenge_stakeholders_dont_use_trust,multiselect_data_prep_challenge_data_not_where_org_needs,multiselect_data_prep_challenge_none_of_above,multiselect_data_prep_challenge_other_free_text,biggest_mds_problem_metadata_sharing_across_tools,biggest_mds_problem_team_tool_collab_clarity,biggest_mds_problem_producer_consumer_coordination_handoff,biggest_mds_problem_tools_learning_curve,biggest_mds_problem_implementing_best_practice_across_tools,biggest_mds_problem_other_free_text
118190340290,12/01/2022 9:54:29 AM,12/01/2022 9:59:13 AM,Yes - we use dbt Core / open source,1-2 years,Data Engineer,$51k to $100k,Europe,Government or Military,"501-1,000",6-10%,21-50%,"Build / maintain platforms for hosting, moving, accessing data",Build / maintain data sets to ease analysis,Build / analyze reports & dashboards,Build / use machine learning models,,,N/A - not relevant for my org,N/A - not relevant for my org,N/A - not relevant for my org,Somewhat badly,Somewhat badly,Somewhat badly,Somewhat badly,Each team member specializes by functional area (e.g. supports infra/modeling vs. reporting/BI),,Qualitative evaluations (e.g. performance ratings from stakeholders),,Somewhat disagree,Somewhat agree,,,Reduced budget for tooling (new or existing),,,,,,Increasing investment,No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (no current investment),No change (no current investment),No change (maintain current investment),Source data quality is poor,Input data is hard to collect in a consistent way,,,,,,Data isn’t where business users need it to be to inform quick decisions,,,No effective way to share metadata across tools,,,,Implementing best practices across all the different tools,
118189761993,11/30/2022 5:53:07 PM,11/30/2022 6:00:27 PM,Yes - we use both dbt Core and dbt Cloud,More than 2 years,Other,Prefer not to say,North America,Manufacturing,"5,001 – 10,000",Less than 1%,Less than 1%,"Build / maintain platforms for hosting, moving, accessing data",,,,,Migrate/Refactor legacy scripts to dbt,Somewhat badly,Very well,Very well,Somewhat badly,Very well,Somewhat well,Somewhat badly,Each team member specializes by functional area (e.g. supports infra/modeling vs. reporting/BI),,"SLA metrics (e.g. data uptime, throughput)",,Somewhat agree,Somewhat agree,,,,,,,No change,,No change (maintain current investment),Increasing investment,No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),,,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,Transformations are too time-consuming to build and update,,,,,,,No effective way to share metadata across tools,,,,Implementing best practices across all the different tools,
118189715789,11/30/2022 4:36:01 PM,11/30/2022 5:00:59 PM,Yes - we use both dbt Core and dbt Cloud,1-2 years,Analytics Engineer,$101k to $150k,North America,Consulting / Professional Services,Less than 100,Less than 1%,Less than 1%,"Build / maintain platforms for hosting, moving, accessing data",,,,Mentor / enable direct reports who do a combination of work described above,,Somewhat badly,Somewhat badly,Somewhat well,Somewhat well,Somewhat well,Somewhat well,Somewhat well,Everyone is “full-stack” with no specialization. Projects are assigned by rotation or in an ad-hoc fashion.,,Progress to financial goals (e.g. amount of money saved or business closed),,Strongly disagree,Somewhat agree,Reduced headcount (open or existing),,,,,,,,No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),,,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,,,Managing data documentation and dependencies are too time-consuming,,Data isn’t where business users need it to be to inform quick decisions,,,,,,Learning curve to set up and maintain tools,Implementing best practices across all the different tools,
118189648768,11/30/2022 3:39:18 PM,11/30/2022 3:43:05 PM,Yes - we use dbt Cloud,1-2 years,Analytics Engineer,$101k to $150k,North America,Consulting / Professional Services,Less than 100,51-100%,51-100%,,Build / maintain data sets to ease analysis,Build / analyze reports & dashboards,,,,N/A - not relevant for my org,N/A - not relevant for my org,N/A - not relevant for my org,Somewhat well,Somewhat well,Very well,Somewhat well,Each team member specializes by business area (e.g. supports Sales vs. Product),,"Enablement of other teams (e.g. number of active users in data tool, tickets opened)",,Somewhat disagree,Somewhat agree,,,,,,,No change,,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,,,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,,,Managing data documentation and dependencies are too time-consuming,,,,,,,Coordination and handoffs between data producers and data consumers,,,
118189633076,11/30/2022 3:21:02 PM,11/30/2022 3:25:20 PM,,1-2 years,Software Engineer,$101k to $150k,North America,Consulting / Professional Services,Less than 100,,,"Build / maintain platforms for hosting, moving, accessing data",,,,,,,,,,,,,Each team member specializes by functional area (e.g. supports infra/modeling vs. reporting/BI),,Not sure,,No opinion,No opinion,,,,,,,,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,,,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,,,,,,,,,,,,,
118189630375,11/30/2022 3:14:00 PM,11/30/2022 3:22:14 PM,Yes - we use both dbt Core and dbt Cloud,1-2 years,Data Engineer,$151k to $200k,North America,Consulting / Professional Services,Less than 100,2-5%,6-10%,"Build / maintain platforms for hosting, moving, accessing data",,,,,,,,,,,,,Each team member specializes by functional area (e.g. supports infra/modeling vs. reporting/BI),,Progress to financial goals (e.g. amount of money saved or business closed),,Strongly agree,Somewhat agree,,,,,,,No change,,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,,,,,,,,,None of the above,,No effective way to share metadata across tools,,,,,
118189236896,11/30/2022 9:01:40 AM,11/30/2022 9:06:35 AM,Yes - we use dbt Cloud,1-2 years,Data Analyst,$101k to $150k,North America,Technology / Software,101-500,2-5%,Less than 1%,,Build / maintain data sets to ease analysis,Build / analyze reports & dashboards,,,,Somewhat badly,Somewhat well,Somewhat well,Somewhat well,Somewhat badly,Somewhat badly,Somewhat badly,Everyone is “full-stack” with no specialization. Projects are assigned by rotation or in an ad-hoc fashion.,,Not sure,,Strongly disagree,Somewhat agree,,,Reduced budget for tooling (new or existing),,,,,,No change (maintain current investment),No change (maintain current investment),No change (no current investment),Increasing investment,No change (maintain current investment),Not sure,No change (maintain current investment),,,,,,,,,None of the above,,No effective way to share metadata across tools,,Coordination and handoffs between data producers and data consumers,,,
118188991106,11/29/2022 10:22:57 AM,11/30/2022 3:02:53 AM,Yes - we use dbt Core / open source,More than 2 years,Data Engineer,$51k to $100k,Europe,Consulting / Professional Services,Less than 100,21-50%,21-50%,"Build / maintain platforms for hosting, moving, accessing data",Build / maintain data sets to ease analysis,,,Mentor / enable direct reports who do a combination of work described above,,Somewhat well,Very well,N/A - not relevant for my org,Very well,Very well,,,Everyone is “full-stack” with no specialization. Projects are assigned by rotation or in an ad-hoc fashion.,,Qualitative evaluations (e.g. performance ratings from stakeholders),,Somewhat disagree,Strongly agree,,,,Increased open headcount,,,,,Increasing investment,Increasing investment,Increasing investment,No change (no current investment),Increasing investment,Increasing investment,No change (maintain current investment),Source data quality is poor,,,,,,,,,Data is coming in from 10k+ different sources at different times and each data delivery needs to be processed as soon it arrives.,,,,,Implementing best practices across all the different tools,
118188675693,11/29/2022 6:22:05 PM,11/29/2022 6:30:49 PM,Yes - we use dbt Core / open source,< 1 year,Other,$51k to $100k,Europe,Consulting / Professional Services,"1,001 – 5,000",2-5%,2-5%,"Build / maintain platforms for hosting, moving, accessing data",Build / maintain data sets to ease analysis,,,Mentor / enable direct reports who do a combination of work described above,,N/A - not relevant for my org,N/A - not relevant for my org,N/A - not relevant for my org,N/A - not relevant for my org,N/A - not relevant for my org,N/A - not relevant for my org,N/A - not relevant for my org,Each team member specializes in both functional and business areas. (e.g. supports infra/modeling for Sales vs. reporting/BI for Sales),,Progress to financial goals (e.g. amount of money saved or business closed),,Somewhat agree,Somewhat agree,,,,Increased open headcount,Increased level / salary for open headcount,Increased budget for tooling (new or existing),,,Increasing investment,No change (maintain current investment),Increasing investment,No change (maintain current investment),Increasing investment,Increasing investment,Increasing investment,Source data quality is poor,,Data ownership is ambiguous — teams disagree on how/where to address data quality issues,,,,,Data isn’t where business users need it to be to inform quick decisions,,,,,Coordination and handoffs between data producers and data consumers,,,
118188563739,11/28/2022 3:49:22 PM,11/29/2022 4:19:11 PM,Yes - we use both dbt Core and dbt Cloud,1-2 years,People Manager/Director - Data Engineering,$151k to $200k,North America,Consulting / Professional Services,101-500,6-10%,21-50%,"Build / maintain platforms for hosting, moving, accessing data",Build / maintain data sets to ease analysis,,,Mentor / enable direct reports who do a combination of work described above,,Very well,N/A - not relevant for my org,N/A - not relevant for my org,Very well,Very well,Very well,Somewhat well,Everyone is “full-stack” with no specialization. Projects are assigned by rotation or in an ad-hoc fashion.,,Progress to financial goals (e.g. amount of money saved or business closed),,Somewhat agree,Somewhat agree,,,,,,,No change,,No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),No change (maintain current investment),Source data quality is poor,,,,,Managing data documentation and dependencies are too time-consuming,Stakeholders don’t use / don’t trust data provided,,,,No effective way to share metadata across tools,,,Learning curve to set up and maintain tools,Implementing best practices across all the different tools,
